"","GENEID","Alignment.x","Rank.x","baseMean.x","Alignment.y","Rank.y","baseMean.y","logMeanExpression","RankDiff","MeanRank","num.trans"
"46","ENSG00000134184","STAR",2289,199.526656956518,"HISAT2",2630,148.341707246994,5.61202352057237,-341,2459.5,NA
"47","ENSG00000184619","STAR",3192,165.229062764804,"HISAT2",2853,153.694237677842,5.48925247663295,339,3022.5,5
"48","ENSG00000099783","STAR",3930,441.917619654104,"HISAT2",3606,414.182029868956,6.47544602106641,324,3768,NA
"49","ENSG00000244021","STAR",4358,6152.38902787565,"HISAT2",4037,6711.09264100979,9.15988202874941,321,4197.5,1
"50","ENSG00000134153","STAR",3803,487.983957745679,"HISAT2",3483,468.167623185629,6.58211899783765,320,3643,NA
"51","ENSG00000213089","STAR",1795,208.228014859326,"HISAT2",2113,106.031413391344,5.56545377066487,-318,1954,NA
"52","ENSG00000168778","STAR",3642,375.455235028116,"HISAT2",3324,353.827611590108,6.31421637511151,318,3483,NA
"53","ENSG00000258016","STAR",3089,579.0985892698,"HISAT2",2776,358.730097222629,6.63129485812873,313,2932.5,NA
"54","ENSG00000144741","STAR",3749,573.885110296338,"HISAT2",3436,545.497321987185,6.74126821778251,313,3592.5,6
"55","ENSG00000215179","STAR",1179,38.6207738361207,"HISAT2",867,24.8614631682162,3.93283503330867,312,1023,NA
"56","ENSG00000104408","STAR",3390,26384.2092625552,"HISAT2",3081,24720.3937217878,10.5647416662563,309,3235.5,NA
"57","ENSG00000178082","STAR",3864,638.827541519849,"HISAT2",3555,455.139167412496,6.76434337761352,309,3709.5,NA
"58","ENSG00000141098","STAR",2101,115.304818053906,"HISAT2",1793,107.462332797617,5.13011161801331,308,1947,NA
"59","ENSG00000260528","STAR",2363,149.483966047194,"HISAT2",2055,85.8546864521354,5.25963531651069,308,2209,NA
"60","ENSG00000220842","STAR",4372,19754.8151705618,"HISAT2",4065,16107.2069740193,10.2330940832442,307,4218.5,1
"61","ENSG00000226535","STAR",951,57.4983576141548,"HISAT2",648,26.2762365936883,4.25754666704162,303,799.5,NA
"62","ENSG00000279267","STAR",3945,749.571018151461,"HISAT2",3643,603.752789818308,6.95792298253752,302,3794,NA
"63","ENSG00000148335","STAR",2254,110.588575914416,"HISAT2",1955,99.9541961216613,5.07870304252367,299,2104.5,NA
"64","ENSG00000164398","STAR",1542,140.521306711143,"HISAT2",1246,133.290415380381,5.33352288729285,296,1394,NA
"65","ENSG00000138433","STAR",4392,1815.63835072505,"HISAT2",4098,1602.92767660625,7.86982294992528,294,4245,NA
"66","ENSG00000236972","STAR",2981,456.968104288809,"HISAT2",3274,354.977993324755,6.4527696740747,-293,3127.5,NA
"67","ENSG00000188690","STAR",2496,115.75547832629,"HISAT2",2206,109.606727881894,5.13908035312164,290,2351,NA
"68","ENSG00000229944","STAR",4407,3388.63677704939,"HISAT2",4117,2431.61908801762,8.43477770716279,290,4262,NA
"69","ENSG00000166557","STAR",3252,260.894055576154,"HISAT2",2963,243.326716929613,5.94687874407027,289,3107.5,NA
"70","ENSG00000186523","STAR",2459,294.91274505756,"HISAT2",2173,258.34933417052,6.04993959469796,286,2316,2
"71","ENSG00000242060","STAR",3920,1669.64595489077,"HISAT2",3634,1146.57271078278,7.71553935585804,286,3777,1
"72","ENSG00000237729","STAR",4326,1642.66682215051,"HISAT2",4042,1081.00185657761,7.68853219759179,284,4184,NA
"73","ENSG00000225972","STAR",3740,8545.55052727509,"HISAT2",3458,7880.80083296382,9.43235936671416,282,3599,1
"74","ENSG00000280022","STAR",1334,51.893457013272,"HISAT2",1053,41.4134896534396,4.28496770199206,281,1193.5,NA
